k,re_fixed,im_fixed
1262,  9290,-13496
1263,  9279,-13503
1264,  9269,-13510
1265,  9259,-13517
1266,  9248,-13524
1267,  9238,-13531
1268,  9227,-13538
1269,  9217,-13546
1270,  9207,-13553
1271,  9196,-13560
1272,  9186,-13567
1273,  9175,-13574
1274,  9165,-13581
1275,  9155,-13588
1276,  9144,-13595
1277,  9134,-13602
1278,  9123,-13609
1279,  9113,-13616
1280,  9102,-13623
1281,  9092,-13630
1282,  9082,-13637
1283,  9071,-13644
1284,  9061,-13651
1285,  9050,-13658
1286,  9040,-13665
1287,  9029,-13671
1288,  9019,-13678
1289,  9008,-13685
1290,  8998,-13692
1291,  8987,-13699
1292,  8977,-13706
1293,  8966,-13713
1294,  8956,-13720
1295,  8945,-13727
1296,  8935,-13733
1297,  8924,-13740
1298,  8914,-13747
1299,  8903,-13754
1300,  8892,-13761
1301,  8882,-13768
1302,  8871,-13774
1303,  8861,-13781
1304,  8850,-13788
1305,  8840,-13795
1306,  8829,-13802
1307,  8818,-13808
1308,  8808,-13815
1309,  8797,-13822
1310,  8787,-13829
1311,  8776,-13835
1312,  8765,-13842
1313,  8755,-13849
1314,  8744,-13856
1315,  8734,-13862
1316,  8723,-13869
1317,  8712,-13876
1318,  8702,-13882
1319,  8691,-13889
1320,  8680,-13896
1321,  8670,-13902
1322,  8659,-13909
1323,  8648,-13916
1324,  8638,-13922
1325,  8627,-13929
1326,  8616,-13935
1327,  8606,-13942
1328,  8595,-13949
1329,  8584,-13955
1330,  8573,-13962
1331,  8563,-13968
1332,  8552,-13975
1333,  8541,-13981
1334,  8531,-13988
1335,  8520,-13995
1336,  8509,-14001
1337,  8498,-14008
1338,  8488,-14014
1339,  8477,-14021
1340,  8466,-14027
1341,  8455,-14034
1342,  8445,-14040
1343,  8434,-14047
1344,  8423,-14053
1345,  8412,-14059
1346,  8401,-14066
1347,  8391,-14072
1348,  8380,-14079
1349,  8369,-14085
1350,  8358,-14092
1351,  8347,-14098
1352,  8337,-14104
1353,  8326,-14111
1354,  8315,-14117
1355,  8304,-14124
1356,  8293,-14130
1357,  8283,-14136
1358,  8272,-14143
1359,  8261,-14149
1360,  8250,-14155
1361,  8239,-14162
1362,  8228,-14168
1363,  8217,-14174
1364,  8207,-14181
1365,  8196,-14187
1366,  8185,-14193
1367,  8174,-14199
1368,  8163,-14206
1369,  8152,-14212
1370,  8141,-14218
1371,  8130,-14224
1372,  8119,-14231
1373,  8108,-14237
1374,  8098,-14243
1375,  8087,-14249
1376,  8076,-14256
1377,  8065,-14262
1378,  8054,-14268
1379,  8043,-14274
1380,  8032,-14280
1381,  8021,-14286
1382,  8010,-14293
1383,  7999,-14299
1384,  7988,-14305
1385,  7977,-14311
1386,  7966,-14317
1387,  7955,-14323
1388,  7944,-14329
1389,  7933,-14335
1390,  7922,-14341
1391,  7911,-14347
1392,  7900,-14354
1393,  7889,-14360
1394,  7878,-14366
1395,  7867,-14372
1396,  7856,-14378
1397,  7845,-14384
1398,  7834,-14390
1399,  7823,-14396
1400,  7812,-14402
1401,  7801,-14408
1402,  7790,-14414
1403,  7779,-14420
1404,  7768,-14426
1405,  7757,-14432
1406,  7746,-14438
1407,  7734,-14443
1408,  7723,-14449
1409,  7712,-14455
1410,  7701,-14461
1411,  7690,-14467
1412,  7679,-14473
1413,  7668,-14479
1414,  7657,-14485
1415,  7646,-14491
1416,  7635,-14497
1417,  7623,-14502
1418,  7612,-14508
1419,  7601,-14514
1420,  7590,-14520
1421,  7579,-14526
1422,  7568,-14531
1423,  7557,-14537
1424,  7545,-14543
1425,  7534,-14549
1426,  7523,-14555
1427,  7512,-14560
1428,  7501,-14566
1429,  7490,-14572
1430,  7478,-14578
1431,  7467,-14583
1432,  7456,-14589
1433,  7445,-14595
1434,  7434,-14601
1435,  7423,-14606
1436,  7411,-14612
1437,  7400,-14618
1438,  7389,-14623
1439,  7378,-14629
1440,  7366,-14635
1441,  7355,-14640
1442,  7344,-14646
1443,  7333,-14651
1444,  7321,-14657
1445,  7310,-14663
1446,  7299,-14668
1447,  7288,-14674
1448,  7276,-14680
1449,  7265,-14685
1450,  7254,-14691
1451,  7243,-14696
1452,  7231,-14702
1453,  7220,-14707
1454,  7209,-14713
1455,  7198,-14718
1456,  7186,-14724
1457,  7175,-14729
1458,  7164,-14735
1459,  7152,-14740
1460,  7141,-14746
1461,  7130,-14751
1462,  7118,-14757
1463,  7107,-14762
1464,  7096,-14768
1465,  7084,-14773
1466,  7073,-14779
1467,  7062,-14784
1468,  7050,-14789
1469,  7039,-14795
1470,  7028,-14800
1471,  7016,-14806
1472,  7005,-14811
1473,  6994,-14816
1474,  6982,-14822
1475,  6971,-14827
1476,  6960,-14832
1477,  6948,-14838
1478,  6937,-14843
1479,  6925,-14848
1480,  6914,-14854
1481,  6903,-14859
1482,  6891,-14864
1483,  6880,-14870
1484,  6868,-14875
1485,  6857,-14880
1486,  6846,-14885
1487,  6834,-14891
1488,  6823,-14896
1489,  6811,-14901
1490,  6800,-14906
1491,  6788,-14911
1492,  6777,-14917
1493,  6766,-14922
1494,  6754,-14927
1495,  6743,-14932
1496,  6731,-14937
1497,  6720,-14943
1498,  6708,-14948
1499,  6697,-14953
1500,  6685,-14958
1501,  6674,-14963
1502,  6662,-14968
1503,  6651,-14973
1504,  6639,-14978
1505,  6628,-14984
1506,  6616,-14989
1507,  6605,-14994
1508,  6593,-14999
1509,  6582,-15004
1510,  6570,-15009
1511,  6559,-15014
1512,  6547,-15019
1513,  6536,-15024
1514,  6524,-15029
1515,  6513,-15034
1516,  6501,-15039
1517,  6490,-15044
1518,  6478,-15049
1519,  6467,-15054
1520,  6455,-15059
1521,  6444,-15064
1522,  6432,-15069
1523,  6420,-15074
1524,  6409,-15078
1525,  6397,-15083
1526,  6386,-15088
1527,  6374,-15093
1528,  6363,-15098
1529,  6351,-15103
1530,  6339,-15108
1531,  6328,-15113
1532,  6316,-15118
1533,  6305,-15122
1534,  6293,-15127
1535,  6281,-15132
1536,  6270,-15137
1537,  6258,-15142
1538,  6247,-15146
1539,  6235,-15151
1540,  6223,-15156
1541,  6212,-15161
1542,  6200,-15166
1543,  6189,-15170
1544,  6177,-15175
1545,  6165,-15180
1546,  6154,-15184
1547,  6142,-15189
1548,  6130,-15194
1549,  6119,-15199
1550,  6107,-15203
1551,  6095,-15208
1552,  6084,-15213
1553,  6072,-15217
1554,  6060,-15222
1555,  6049,-15227
1556,  6037,-15231
1557,  6025,-15236
1558,  6014,-15240
1559,  6002,-15245
1560,  5990,-15250
1561,  5979,-15254
1562,  5967,-15259
1563,  5955,-15263
1564,  5943,-15268
1565,  5932,-15273
1566,  5920,-15277
1567,  5908,-15282
1568,  5897,-15286
1569,  5885,-15291
1570,  5873,-15295
1571,  5861,-15300
1572,  5850,-15304
1573,  5838,-15309
1574,  5826,-15313
1575,  5814,-15318
1576,  5803,-15322
1577,  5791,-15326
1578,  5779,-15331
1579,  5767,-15335
1580,  5756,-15340
1581,  5744,-15344
1582,  5732,-15349
1583,  5720,-15353
1584,  5708,-15357
1585,  5697,-15362
1586,  5685,-15366
1587,  5673,-15370
1588,  5661,-15375
1589,  5650,-15379
1590,  5638,-15383
1591,  5626,-15388
1592,  5614,-15392
1593,  5602,-15396
1594,  5591,-15401
1595,  5579,-15405
1596,  5567,-15409
1597,  5555,-15414
1598,  5543,-15418
1599,  5531,-15422
1600,  5520,-15426
1601,  5508,-15430
1602,  5496,-15435
1603,  5484,-15439
1604,  5472,-15443
1605,  5460,-15447
1606,  5449,-15451
1607,  5437,-15456
1608,  5425,-15460
1609,  5413,-15464
1610,  5401,-15468
1611,  5389,-15472
1612,  5377,-15476
1613,  5366,-15481
1614,  5354,-15485
1615,  5342,-15489
1616,  5330,-15493
1617,  5318,-15497
1618,  5306,-15501
1619,  5294,-15505
1620,  5282,-15509
1621,  5270,-15513
1622,  5259,-15517
1623,  5247,-15521
1624,  5235,-15525
1625,  5223,-15529
1626,  5211,-15533
1627,  5199,-15537
1628,  5187,-15541
1629,  5175,-15545
1630,  5163,-15549
1631,  5151,-15553
1632,  5139,-15557
1633,  5127,-15561
1634,  5115,-15565
1635,  5104,-15569
1636,  5092,-15573
1637,  5080,-15577
1638,  5068,-15581
1639,  5056,-15584
1640,  5044,-15588
1641,  5032,-15592
1642,  5020,-15596
1643,  5008,-15600
1644,  4996,-15604
1645,  4984,-15608
1646,  4972,-15611
1647,  4960,-15615
1648,  4948,-15619
1649,  4936,-15623
1650,  4924,-15627
1651,  4912,-15630
1652,  4900,-15634
1653,  4888,-15638
1654,  4876,-15642
1655,  4864,-15645
1656,  4852,-15649
1657,  4840,-15653
1658,  4828,-15656
1659,  4816,-15660
1660,  4804,-15664
1661,  4792,-15668
1662,  4780,-15671
1663,  4768,-15675
1664,  4756,-15679
1665,  4744,-15682
1666,  4732,-15686
1667,  4720,-15689
1668,  4708,-15693
1669,  4696,-15697
1670,  4684,-15700
1671,  4672,-15704
1672,  4660,-15707
1673,  4648,-15711
1674,  4636,-15715
1675,  4624,-15718
1676,  4612,-15722
1677,  4599,-15725
1678,  4587,-15729
1679,  4575,-15732
1680,  4563,-15736
1681,  4551,-15739
1682,  4539,-15743
1683,  4527,-15746
1684,  4515,-15750
1685,  4503,-15753
1686,  4491,-15757
1687,  4479,-15760
1688,  4467,-15763
1689,  4455,-15767
1690,  4442,-15770
1691,  4430,-15774
1692,  4418,-15777
1693,  4406,-15780
1694,  4394,-15784
1695,  4382,-15787
1696,  4370,-15791
1697,  4358,-15794
1698,  4346,-15797
1699,  4333,-15801
1700,  4321,-15804
1701,  4309,-15807
1702,  4297,-15810
1703,  4285,-15814
1704,  4273,-15817
1705,  4261,-15820
1706,  4249,-15824
1707,  4236,-15827
1708,  4224,-15830
1709,  4212,-15833
1710,  4200,-15837
1711,  4188,-15840
1712,  4176,-15843
1713,  4164,-15846
1714,  4151,-15849
1715,  4139,-15853
1716,  4127,-15856
1717,  4115,-15859
1718,  4103,-15862
1719,  4091,-15865
1720,  4078,-15868
1721,  4066,-15871
1722,  4054,-15875
1723,  4042,-15878
1724,  4030,-15881
1725,  4018,-15884
1726,  4005,-15887
1727,  3993,-15890
1728,  3981,-15893
1729,  3969,-15896
1730,  3957,-15899
1731,  3944,-15902
1732,  3932,-15905
1733,  3920,-15908
1734,  3908,-15911
1735,  3896,-15914
1736,  3883,-15917
1737,  3871,-15920
1738,  3859,-15923
1739,  3847,-15926
1740,  3835,-15929
1741,  3822,-15932
1742,  3810,-15935
1743,  3798,-15938
1744,  3786,-15941
1745,  3773,-15944
1746,  3761,-15946
1747,  3749,-15949
1748,  3737,-15952
1749,  3724,-15955
1750,  3712,-15958
1751,  3700,-15961
1752,  3688,-15964
1753,  3676,-15966
1754,  3663,-15969
1755,  3651,-15972
1756,  3639,-15975
1757,  3627,-15978
1758,  3614,-15980
1759,  3602,-15983
1760,  3590,-15986
1761,  3577,-15989
1762,  3565,-15991
1763,  3553,-15994
1764,  3541,-15997
1765,  3528,-16000
1766,  3516,-16002
1767,  3504,-16005
1768,  3492,-16008
1769,  3479,-16010
1770,  3467,-16013
1771,  3455,-16016
1772,  3442,-16018
1773,  3430,-16021
1774,  3418,-16024
1775,  3406,-16026
1776,  3393,-16029
1777,  3381,-16031
1778,  3369,-16034
1779,  3356,-16037
1780,  3344,-16039
1781,  3332,-16042
1782,  3320,-16044
1783,  3307,-16047
1784,  3295,-16049
1785,  3283,-16052
1786,  3270,-16054
1787,  3258,-16057
1788,  3246,-16059
1789,  3233,-16062
1790,  3221,-16064
1791,  3209,-16067
1792,  3196,-16069
1793,  3184,-16072
1794,  3172,-16074
1795,  3159,-16076
1796,  3147,-16079
1797,  3135,-16081
1798,  3122,-16084
1799,  3110,-16086
1800,  3098,-16088
1801,  3085,-16091
1802,  3073,-16093
1803,  3061,-16096
1804,  3048,-16098
1805,  3036,-16100
1806,  3024,-16103
1807,  3011,-16105
1808,  2999,-16107
1809,  2987,-16109
1810,  2974,-16112
1811,  2962,-16114
1812,  2949,-16116
1813,  2937,-16119
1814,  2925,-16121
1815,  2912,-16123
1816,  2900,-16125
1817,  2888,-16128
1818,  2875,-16130
1819,  2863,-16132
1820,  2851,-16134
1821,  2838,-16136
1822,  2826,-16138
1823,  2813,-16141
1824,  2801,-16143
1825,  2789,-16145
1826,  2776,-16147
1827,  2764,-16149
1828,  2752,-16151
1829,  2739,-16153
1830,  2727,-16156
1831,  2714,-16158
1832,  2702,-16160
1833,  2690,-16162
1834,  2677,-16164
1835,  2665,-16166
1836,  2652,-16168
1837,  2640,-16170
1838,  2628,-16172
1839,  2615,-16174
1840,  2603,-16176
1841,  2590,-16178
1842,  2578,-16180
1843,  2566,-16182
1844,  2553,-16184
1845,  2541,-16186
1846,  2528,-16188
1847,  2516,-16190
1848,  2503,-16192
1849,  2491,-16194
1850,  2479,-16195
1851,  2466,-16197
1852,  2454,-16199
1853,  2441,-16201
1854,  2429,-16203
1855,  2416,-16205
1856,  2404,-16207
1857,  2392,-16209
1858,  2379,-16210
1859,  2367,-16212
1860,  2354,-16214
1861,  2342,-16216
1862,  2329,-16218
1863,  2317,-16219
1864,  2305,-16221
1865,  2292,-16223
1866,  2280,-16225
1867,  2267,-16226
1868,  2255,-16228
1869,  2242,-16230
1870,  2230,-16232
1871,  2217,-16233
1872,  2205,-16235
1873,  2193,-16237
1874,  2180,-16238
1875,  2168,-16240
1876,  2155,-16242
1877,  2143,-16243
1878,  2130,-16245
1879,  2118,-16247
1880,  2105,-16248
1881,  2093,-16250
1882,  2080,-16251
1883,  2068,-16253
1884,  2055,-16255
1885,  2043,-16256
1886,  2031,-16258
1887,  2018,-16259
1888,  2006,-16261
1889,  1993,-16262
1890,  1981,-16264
1891,  1968,-16265
1892,  1956,-16267
1893,  1943,-16268
1894,  1931,-16270
1895,  1918,-16271
1896,  1906,-16273
1897,  1893,-16274
1898,  1881,-16276
1899,  1868,-16277
1900,  1856,-16279
1901,  1843,-16280
1902,  1831,-16281
1903,  1818,-16283
1904,  1806,-16284
1905,  1793,-16286
1906,  1781,-16287
1907,  1768,-16288
1908,  1756,-16290
1909,  1743,-16291
1910,  1731,-16292
1911,  1718,-16294
1912,  1706,-16295
1913,  1693,-16296
1914,  1681,-16298
1915,  1668,-16299
1916,  1656,-16300
1917,  1643,-16301
1918,  1631,-16303
1919,  1618,-16304
1920,  1606,-16305
1921,  1593,-16306
1922,  1581,-16308
1923,  1568,-16309
1924,  1556,-16310
1925,  1543,-16311
1926,  1531,-16312
1927,  1518,-16313
1928,  1506,-16315
1929,  1493,-16316
1930,  1481,-16317
1931,  1468,-16318
1932,  1456,-16319
1933,  1443,-16320
1934,  1431,-16321
1935,  1418,-16323
1936,  1406,-16324
1937,  1393,-16325
1938,  1381,-16326
1939,  1368,-16327
1940,  1356,-16328
1941,  1343,-16329
1942,  1331,-16330
1943,  1318,-16331
1944,  1306,-16332
1945,  1293,-16333
1946,  1280,-16334
1947,  1268,-16335
1948,  1255,-16336
1949,  1243,-16337
1950,  1230,-16338
1951,  1218,-16339
1952,  1205,-16340
1953,  1193,-16341
1954,  1180,-16341
1955,  1168,-16342
1956,  1155,-16343
1957,  1143,-16344
1958,  1130,-16345
1959,  1118,-16346
1960,  1105,-16347
1961,  1092,-16348
1962,  1080,-16348
1963,  1067,-16349
1964,  1055,-16350
1965,  1042,-16351
1966,  1030,-16352
1967,  1017,-16352
1968,  1005,-16353
1969,   992,-16354
1970,   980,-16355
1971,   967,-16355
1972,   955,-16356
1973,   942,-16357
1974,   929,-16358
1975,   917,-16358
1976,   904,-16359
1977,   892,-16360
1978,   879,-16360
1979,   867,-16361
1980,   854,-16362
1981,   842,-16362
1982,   829,-16363
1983,   816,-16364
1984,   804,-16364
1985,   791,-16365
1986,   779,-16365
1987,   766,-16366
1988,   754,-16367
1989,   741,-16367
1990,   729,-16368
1991,   716,-16368
1992,   704,-16369
1993,   691,-16369
1994,   678,-16370
1995,   666,-16370
1996,   653,-16371
1997,   641,-16371
1998,   628,-16372
1999,   616,-16372
2000,   603,-16373
2001,   590,-16373
2002,   578,-16374
2003,   565,-16374
2004,   553,-16375
2005,   540,-16375
2006,   528,-16375
2007,   515,-16376
2008,   503,-16376
2009,   490,-16377
2010,   477,-16377
2011,   465,-16377
2012,   452,-16378
2013,   440,-16378
2014,   427,-16378
2015,   415,-16379
2016,   402,-16379
2017,   390,-16379
2018,   377,-16380
2019,   364,-16380
2020,   352,-16380
2021,   339,-16380
2022,   327,-16381
2023,   314,-16381
2024,   302,-16381
2025,   289,-16381
2026,   276,-16382
2027,   264,-16382
2028,   251,-16382
2029,   239,-16382
2030,   226,-16382
2031,   214,-16383
2032,   201,-16383
2033,   188,-16383
2034,   176,-16383
2035,   163,-16383
2036,   151,-16383
2037,   138,-16383
2038,   126,-16384
2039,   113,-16384
2040,   101,-16384
2041,    88,-16384
2042,    75,-16384
2043,    63,-16384
2044,    50,-16384
2045,    38,-16384
2046,    25,-16384
2047,    13,-16384
2048,     0,-16384
2049,   -13,-16384
2050,   -25,-16384
2051,   -38,-16384
2052,   -50,-16384
2053,   -63,-16384
2054,   -75,-16384
2055,   -88,-16384
2056,  -101,-16384
2057,  -113,-16384
2058,  -126,-16384
2059,  -138,-16383
2060,  -151,-16383
2061,  -163,-16383
2062,  -176,-16383
2063,  -188,-16383
2064,  -201,-16383
2065,  -214,-16383
2066,  -226,-16382
2067,  -239,-16382
2068,  -251,-16382
2069,  -264,-16382
2070,  -276,-16382
2071,  -289,-16381
2072,  -302,-16381
2073,  -314,-16381
2074,  -327,-16381
2075,  -339,-16380
2076,  -352,-16380
2077,  -364,-16380
2078,  -377,-16380
2079,  -390,-16379
2080,  -402,-16379
2081,  -415,-16379
2082,  -427,-16378
2083,  -440,-16378
2084,  -452,-16378
2085,  -465,-16377
2086,  -477,-16377
2087,  -490,-16377
2088,  -503,-16376
2089,  -515,-16376
2090,  -528,-16375
2091,  -540,-16375
2092,  -553,-16375
2093,  -565,-16374
2094,  -578,-16374
2095,  -590,-16373
2096,  -603,-16373
2097,  -616,-16372
2098,  -628,-16372
2099,  -641,-16371
2100,  -653,-16371
2101,  -666,-16370
2102,  -678,-16370
2103,  -691,-16369
2104,  -704,-16369
2105,  -716,-16368
2106,  -729,-16368
2107,  -741,-16367
2108,  -754,-16367
2109,  -766,-16366
2110,  -779,-16365
2111,  -791,-16365
2112,  -804,-16364
2113,  -816,-16364
2114,  -829,-16363
2115,  -842,-16362
2116,  -854,-16362
2117,  -867,-16361
2118,  -879,-16360
2119,  -892,-16360
2120,  -904,-16359
2121,  -917,-16358
2122,  -929,-16358
2123,  -942,-16357
2124,  -955,-16356
2125,  -967,-16355
2126,  -980,-16355
2127,  -992,-16354
2128, -1005,-16353
2129, -1017,-16352
2130, -1030,-16352
2131, -1042,-16351
2132, -1055,-16350
2133, -1067,-16349
2134, -1080,-16348
2135, -1092,-16348
2136, -1105,-16347
2137, -1118,-16346
2138, -1130,-16345
2139, -1143,-16344
2140, -1155,-16343
2141, -1168,-16342
2142, -1180,-16341
2143, -1193,-16341
2144, -1205,-16340
2145, -1218,-16339
2146, -1230,-16338
2147, -1243,-16337
2148, -1255,-16336
2149, -1268,-16335
2150, -1280,-16334
2151, -1293,-16333
2152, -1306,-16332
2153, -1318,-16331
2154, -1331,-16330
2155, -1343,-16329
2156, -1356,-16328
2157, -1368,-16327
2158, -1381,-16326
2159, -1393,-16325
2160, -1406,-16324
2161, -1418,-16323
2162, -1431,-16321
2163, -1443,-16320
2164, -1456,-16319
2165, -1468,-16318
2166, -1481,-16317
2167, -1493,-16316
2168, -1506,-16315
2169, -1518,-16313
2170, -1531,-16312
2171, -1543,-16311
2172, -1556,-16310
2173, -1568,-16309
2174, -1581,-16308
2175, -1593,-16306
2176, -1606,-16305
2177, -1618,-16304
2178, -1631,-16303
2179, -1643,-16301
2180, -1656,-16300
2181, -1668,-16299
2182, -1681,-16298
2183, -1693,-16296
2184, -1706,-16295
2185, -1718,-16294
2186, -1731,-16292
2187, -1743,-16291
2188, -1756,-16290
2189, -1768,-16288
2190, -1781,-16287
2191, -1793,-16286
2192, -1806,-16284
2193, -1818,-16283
2194, -1831,-16281
2195, -1843,-16280
2196, -1856,-16279
2197, -1868,-16277
2198, -1881,-16276
2199, -1893,-16274
2200, -1906,-16273
2201, -1918,-16271
2202, -1931,-16270
2203, -1943,-16268
2204, -1956,-16267
2205, -1968,-16265
2206, -1981,-16264
2207, -1993,-16262
2208, -2006,-16261
2209, -2018,-16259
2210, -2031,-16258
2211, -2043,-16256
2212, -2055,-16255
2213, -2068,-16253
2214, -2080,-16251
2215, -2093,-16250
2216, -2105,-16248
2217, -2118,-16247
2218, -2130,-16245
2219, -2143,-16243
2220, -2155,-16242
2221, -2168,-16240
2222, -2180,-16238
2223, -2193,-16237
2224, -2205,-16235
2225, -2217,-16233
2226, -2230,-16232
2227, -2242,-16230
2228, -2255,-16228
2229, -2267,-16226
2230, -2280,-16225
2231, -2292,-16223
2232, -2305,-16221
2233, -2317,-16219
2234, -2329,-16218
2235, -2342,-16216
2236, -2354,-16214
2237, -2367,-16212
2238, -2379,-16210
2239, -2392,-16209
2240, -2404,-16207
2241, -2416,-16205
2242, -2429,-16203
2243, -2441,-16201
2244, -2454,-16199
2245, -2466,-16197
2246, -2479,-16195
2247, -2491,-16194
2248, -2503,-16192
2249, -2516,-16190
2250, -2528,-16188
2251, -2541,-16186
2252, -2553,-16184
2253, -2566,-16182
2254, -2578,-16180
2255, -2590,-16178
2256, -2603,-16176
2257, -2615,-16174
2258, -2628,-16172
2259, -2640,-16170
2260, -2652,-16168
2261, -2665,-16166
2262, -2677,-16164
2263, -2690,-16162
2264, -2702,-16160
2265, -2714,-16158
2266, -2727,-16156
2267, -2739,-16153
2268, -2752,-16151
2269, -2764,-16149
2270, -2776,-16147
2271, -2789,-16145
2272, -2801,-16143
2273, -2813,-16141
2274, -2826,-16138
2275, -2838,-16136
2276, -2851,-16134
2277, -2863,-16132
2278, -2875,-16130
2279, -2888,-16128
2280, -2900,-16125
2281, -2912,-16123
2282, -2925,-16121
2283, -2937,-16119
2284, -2949,-16116
2285, -2962,-16114
2286, -2974,-16112
2287, -2987,-16109
2288, -2999,-16107
2289, -3011,-16105
2290, -3024,-16103
2291, -3036,-16100
2292, -3048,-16098
2293, -3061,-16096
2294, -3073,-16093
2295, -3085,-16091
2296, -3098,-16088
2297, -3110,-16086
2298, -3122,-16084
2299, -3135,-16081
2300, -3147,-16079
2301, -3159,-16076
2302, -3172,-16074
2303, -3184,-16072
2304, -3196,-16069
2305, -3209,-16067
2306, -3221,-16064
2307, -3233,-16062
2308, -3246,-16059
2309, -3258,-16057
2310, -3270,-16054
2311, -3283,-16052
2312, -3295,-16049
2313, -3307,-16047
2314, -3320,-16044
2315, -3332,-16042
2316, -3344,-16039
2317, -3356,-16037
2318, -3369,-16034
2319, -3381,-16031
2320, -3393,-16029
2321, -3406,-16026
2322, -3418,-16024
2323, -3430,-16021
2324, -3442,-16018
2325, -3455,-16016
2326, -3467,-16013
2327, -3479,-16010
2328, -3492,-16008
2329, -3504,-16005
2330, -3516,-16002
2331, -3528,-16000
2332, -3541,-15997
2333, -3553,-15994
2334, -3565,-15991
2335, -3577,-15989
2336, -3590,-15986
2337, -3602,-15983
2338, -3614,-15980
2339, -3627,-15978
2340, -3639,-15975
2341, -3651,-15972
2342, -3663,-15969
2343, -3676,-15966
2344, -3688,-15964
2345, -3700,-15961
2346, -3712,-15958
2347, -3724,-15955
2348, -3737,-15952
2349, -3749,-15949
2350, -3761,-15946
2351, -3773,-15944
2352, -3786,-15941
2353, -3798,-15938
2354, -3810,-15935
2355, -3822,-15932
2356, -3835,-15929
2357, -3847,-15926
2358, -3859,-15923
2359, -3871,-15920
2360, -3883,-15917
2361, -3896,-15914
2362, -3908,-15911
2363, -3920,-15908
2364, -3932,-15905
2365, -3944,-15902
2366, -3957,-15899
2367, -3969,-15896
2368, -3981,-15893
2369, -3993,-15890
2370, -4005,-15887
2371, -4018,-15884
2372, -4030,-15881
2373, -4042,-15878
2374, -4054,-15875
2375, -4066,-15871
2376, -4078,-15868
2377, -4091,-15865
2378, -4103,-15862
2379, -4115,-15859
2380, -4127,-15856
2381, -4139,-15853
2382, -4151,-15849
2383, -4164,-15846
2384, -4176,-15843
2385, -4188,-15840
2386, -4200,-15837
2387, -4212,-15833
2388, -4224,-15830
2389, -4236,-15827
2390, -4249,-15824
2391, -4261,-15820
2392, -4273,-15817
2393, -4285,-15814
2394, -4297,-15810
2395, -4309,-15807
2396, -4321,-15804
2397, -4333,-15801
2398, -4346,-15797
2399, -4358,-15794
2400, -4370,-15791
2401, -4382,-15787
2402, -4394,-15784
2403, -4406,-15780
2404, -4418,-15777
2405, -4430,-15774
2406, -4442,-15770
2407, -4455,-15767
2408, -4467,-15763
2409, -4479,-15760
2410, -4491,-15757
2411, -4503,-15753
2412, -4515,-15750
2413, -4527,-15746
2414, -4539,-15743
2415, -4551,-15739
2416, -4563,-15736
2417, -4575,-15732
2418, -4587,-15729
2419, -4599,-15725
2420, -4612,-15722
2421, -4624,-15718
2422, -4636,-15715
2423, -4648,-15711
2424, -4660,-15707
2425, -4672,-15704
2426, -4684,-15700
2427, -4696,-15697
2428, -4708,-15693
2429, -4720,-15689
2430, -4732,-15686
2431, -4744,-15682
2432, -4756,-15679
2433, -4768,-15675
2434, -4780,-15671
2435, -4792,-15668
2436, -4804,-15664
2437, -4816,-15660
2438, -4828,-15656
2439, -4840,-15653
2440, -4852,-15649
2441, -4864,-15645
2442, -4876,-15642
2443, -4888,-15638
2444, -4900,-15634
2445, -4912,-15630
2446, -4924,-15627
2447, -4936,-15623
2448, -4948,-15619
2449, -4960,-15615
2450, -4972,-15611
2451, -4984,-15608
2452, -4996,-15604
2453, -5008,-15600
2454, -5020,-15596
2455, -5032,-15592
2456, -5044,-15588
2457, -5056,-15584
2458, -5068,-15581
2459, -5080,-15577
2460, -5092,-15573
2461, -5104,-15569
2462, -5115,-15565
2463, -5127,-15561
2464, -5139,-15557
2465, -5151,-15553
2466, -5163,-15549
2467, -5175,-15545
2468, -5187,-15541
2469, -5199,-15537
2470, -5211,-15533
2471, -5223,-15529
2472, -5235,-15525
2473, -5247,-15521
2474, -5259,-15517
2475, -5270,-15513
2476, -5282,-15509
2477, -5294,-15505
2478, -5306,-15501
2479, -5318,-15497
2480, -5330,-15493
2481, -5342,-15489
2482, -5354,-15485
2483, -5366,-15481
2484, -5377,-15476
2485, -5389,-15472
2486, -5401,-15468
2487, -5413,-15464
2488, -5425,-15460
2489, -5437,-15456
2490, -5449,-15451
2491, -5460,-15447
2492, -5472,-15443
2493, -5484,-15439
2494, -5496,-15435
2495, -5508,-15430
2496, -5520,-15426
2497, -5531,-15422
2498, -5543,-15418
2499, -5555,-15414
2500, -5567,-15409
2501, -5579,-15405
2502, -5591,-15401
2503, -5602,-15396
2504, -5614,-15392
2505, -5626,-15388
2506, -5638,-15383
2507, -5650,-15379
2508, -5661,-15375
2509, -5673,-15370
2510, -5685,-15366
2511, -5697,-15362
2512, -5708,-15357
2513, -5720,-15353
2514, -5732,-15349
2515, -5744,-15344
2516, -5756,-15340
2517, -5767,-15335
2518, -5779,-15331
2519, -5791,-15326
2520, -5803,-15322
2521, -5814,-15318
2522, -5826,-15313
2523, -5838,-15309
2524, -5850,-15304
2525, -5861,-15300
2526, -5873,-15295
2527, -5885,-15291
2528, -5897,-15286
2529, -5908,-15282
2530, -5920,-15277
2531, -5932,-15273
2532, -5943,-15268
2533, -5955,-15263
2534, -5967,-15259
2535, -5979,-15254
2536, -5990,-15250
2537, -6002,-15245
2538, -6014,-15240
2539, -6025,-15236
